serial,subject_group_code,full_subject_name
1,A00,"Toán, Vật lí, Hóa học"
2,A01,"Toán, Vật lí, Tiếng Anh"
3,B00,"Toán, Hóa học, Sinh học"
4,C00,"Ngữ văn, Lịch sử, Địa lí"
5,D01,"Ngữ văn, Toán, Tiếng Anh"
6,D02,"Ngữ văn, Toán, Tiếng Nga"
7,D03,"Ngữ văn, Toán, Tiếng Pháp"
8,D04,"Ngữ văn, Toán, Tiếng Trung"
9,D05,"Ngữ văn, Toán, Tiếng Đức"
10,D06,"Ngữ văn, Toán, Tiếng Nhật"
11,A02,"Toán, Vật lí, Sinh học"
12,A03,"Toán, Vật lí, Lịch sử"
13,A04,"Toán, Vật lí, Địa lí"
14,A05,"Toán, Hóa học, Lịch sử"
15,A06,"Toán, Hóa học, Địa lí"
16,A07,"Toán, Lịch sử, Địa lí"
17,A08,"Toán, Lịch sử, GDKTPL"
18,A09,"Toán, Địa lý, GDKTPL"
19,A10,"Toán, Vật lí, GDKTPL"
20,A11,"Toán, Hóa học, GDKTPL"
21,B01,"Toán, Lịch sử, Sinh học"
22,B02,"Toán, Sinh học, Địa lí"
23,B03,"Toán, Sinh học, Ngữ văn"
24,B04,"Toán, Sinh học, GDKTPL"
25,B08,"Toán, Sinh học, Tiếng Anh"
26,C01,"Ngữ văn, Toán, Vật lí"
27,C02,"Ngữ văn, Toán, Hóa học"
28,C03,"Ngữ văn, Toán, Lịch sử"
29,C04,"Ngữ văn, Toán, Địa lí"
30,C05,"Ngữ văn, Vật lí, Hóa học"
31,C06,"Ngữ Văn, Vật lí, Sinh học"
32,C07,"Ngữ văn, Lịch sử, Vật lí"
33,C08,"Ngữ văn, Hóa học, Sinh học"
34,C09,"Ngữ văn, Địa lí, Vật lí"
35,C10,"Ngữ văn, Lịch sử, Hóa học"
36,C12,"Ngữ văn, Lịch sử, Sinh học"
37,C13,"Ngữ văn, Sinh học, Địa lí"
38,C14,"Ngữ văn, Toán, GDKTPL"
39,C16,"Ngữ văn, Vật lí, GDKTPL"
40,C19,"Ngữ văn, Lịch sử, GDKTPL"
41,C20,"Ngữ văn, Địa lí, GDKTPL"
42,D07,"Toán, Hóa học, Tiếng Anh"
43,D08,"Toán, Sinh học, Tiếng Anh"
44,D09,"Toán, Lịch sử, Tiếng Anh"
45,D10,"Toán, Địa lí, Tiếng Anh"
46,D11,"Ngữ văn, Vật lí, Tiếng Anh"
47,D12,"Ngữ văn, Hóa học, Tiếng Anh"
48,D13,"Ngữ văn, Sinh học, Tiếng Anh"
49,D14,"Ngữ văn, Lịch sử, Tiếng Anh"
50,D15,"Ngữ văn, Địa lí, Tiếng Anh"
51,D20,"Toán, Địa lí, Tiếng Trung"
52,D21,"Toán, Hóa học, Tiếng Đức"
53,D22,"Toán, Hóa học, Tiếng Nga"
54,D23,"Toán, Hóa học, Tiếng Nhật"
55,D24,"Toán, Hóa học, Tiếng Pháp"
56,D25,"Toán, Hóa học, Tiếng Trung"
57,D26,"Toán, Vật lí, Tiếng Đức"
58,D27,"Toán, Vật lí, Tiếng Nga"
59,D28,"Toán, Vật lí, Tiếng Nhật"
60,D29,"Toán, Vật lí, Tiếng Pháp"
61,D30,"Toán, Vật lí, Tiếng Trung"
62,D31,"Toán, Sinh học, Tiếng Đức"
63,D32,"Toán, Sinh học, Tiếng Nga"
64,D33,"Toán, Sinh học, Tiếng Nhật"
65,D34,"Toán, Sinh học, Tiếng Pháp"
66,D35,"Toán, Sinh học, Tiếng Trung"
67,D42,"Ngữ văn, Địa lí, Tiếng Nga"
68,D43,"Ngữ văn, Địa lí, Tiếng Nhật"
69,D44,"Ngữ văn, Địa lí, Tiếng Pháp"
70,D45,"Ngữ văn, Địa lí, Tiếng Trung"
71,D55,"Ngữ văn, Vật lí, Tiếng Trung"
72,D63,"Ngữ văn, Lịch sử, Tiếng Nhật"
73,D64,"Ngữ văn, Lịch sử, Tiếng Pháp"
74,D65,"Ngữ văn, Lịch sử, Tiếng Trung"
75,D66,"Ngữ văn, GDKTPL, Tiếng Anh"
76,D68,"Ngữ văn, GDKTPL, Tiếng Nga"
77,D67,"Văn, GDKTPL, Tiếng Đức"
78,D69,"Văn, GDKTPL, Tiếng Nhật"
79,D70,"Ngữ Văn, GDKTPL, Tiếng Pháp"
80,D71,"Ngữ văn, GDKTPL, Tiếng Trung"
81,D84,"Toán, Tiếng Anh, GDKTPL"
82,D85,"Toán, GDKTPL, Tiếng Đức"
83,D86,"Toán, GDKTPL, Tiếng Nga"
84,D87,"Toán, GDKTPL, Tiếng Pháp"
85,D88,"Toán, GDKTPL, Tiếng Nhật"
86,H00,"Ngữ văn, Năng khiếu vẽ Nghệ thuật 1, Năng khiếu vẽ Nghệ thuật 2"
87,H01,"Toán, Ngữ văn, Vẽ Mỹ thuật"
88,H02,"Toán, Vẽ Hình họa mỹ thuật, Vẽ trang trí màu"
89,H04,"Toán, Tiếng Anh, Vẽ Năng khiếu"
90,H06,"Ngữ văn, Tiếng Anh,Vẽ mỹ thuật"
91,H07,"Toán, Hình họa, Trang trí"
92,H08,"Ngữ văn, Lịch sử, Vẽ mỹ thuật"
93,K01,"Toán, Tiếng Anh, Tin học"
94,M00,"Ngữ văn, Toán, Đọc diễn cảm, Hát"
95,M01,"Ngữ văn, Lịch sử, Năng khiếu"
96,M02,"Toán, Năng khiếu 1, Năng khiếu 2"
97,M03,"Văn, Năng khiếu 1, Năng khiếu 2"
98,M04,"Toán, Đọc kể diễn cảm, Hát - Múa"
99,M09,"Toán, NK Mầm non 1( kể chuyện, đọc, diễn cảm), NK Mầm non 2 (Hát)"
100,M10,"Toán, Tiếng Anh, NK1"
101,M11,"Ngữ Văn, năng kiếu báo chí, Tiếng Anh"
102,M13,"Toán, Sinh học, Năng khiếu"
103,M14,"Ngữ văn, Năng khiếu báo chí, Toán"
104,N00,"Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2"
105,N01,"Ngữ văn, xướng âm, biểu diễn nghệ thuật"
106,N02,"Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ"
107,N05,"Ngữ Văn, Xây dựng kịch bản sự kiện, Năng khiếu"
108,S00,"Ngữ văn, Năng khiếu SKĐA 1, Năng khiếu SKĐA 2"
109,T00,"Toán, Sinh học, Năng khiếu TDTT"
110,T01,"Toán, Ngữ văn, Năng khiếu TDTT"
111,T02,"Ngữ văn, Sinh, Năng khiếu TDTT"
112,T03,"Ngữ văn, Địa, Năng khiếu TDTT"
113,T04,"Toán, Lý, Năng khiếu TDTT"
114,T05,"Ngữ văn, GDKTPL, Năng khiếu thể dục thể thao"
115,V00,"Toán, Vật lí, Vẽ Hình họa mỹ thuật"
116,V01,"Toán, Ngữ văn, Vẽ Hình họa mỹ thuật"
117,V02,"Vẽ mỹ thuật, Toán, Tiếng Anh"
118,V03,"Vẽ mỹ thuật, Toán, Hóa"
119,V05,"Văn, Vật lí, Vẽ mỹ thuật"
120,V06,"Toán, Địa lí, Vẽ mỹ thuật"
121,V10,"Toán, tiếng Pháp, Vẽ mỹ thuật"
122,V11,"Toán, Tiếng Trung, Vẽ mỹ thuật"
123,C17,"Ngữ văn, Hóa học, GDKTPL"
124,K00,"Toán, Đọc hiểu, Tư duy Khoa học Giải quyết vấn đề"
125,"(Toán, Sinh, Công nghệ)","Toán, Sinh, Công nghệ"
126,"(Toán, Sinh, Tin)","Toán, Sinh, Tin"
127,TH4,"Toán, Hoá, Tin"
128,TH9,"Văn, Anh, Tin"
129,K01,"Toán, Văn, Lý/Hóa/Sinh/Tin"
